categoria,descripcion,imagen,marca,nombre,precio,sub_categoria,tipo_producto,url
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018211815007/2018211815007_2.jpg,LG,"LG SMART TV UHD 65"" 65UK6350PSC","S/ 4,999",tv-video,tv,https://simple.ripley.com.pe/tv-y-video/televisores/ver-todo-tv?source=menu
tecnologia,,https://imageshack.com/a/img924/8083/nBtzEy.jpg,ISOUND,ISOUND PARLANTE DURATUNES ISOUND-6704 - NEGRO,S/ 149.90,tv-video,audio-portatil,https://simple.ripley.com.pe/tv-y-video/audio-portatil/ver-todo-audio-portatil?source=menu
tecnologia,,https://imageshack.com/a/img922/2086/mzmlaI.jpg,ISOUND,ISOUND PARLANTE DURATUNES ISOUND-6705 - AZUL,S/ 149.90,tv-video,audio-portatil,https://simple.ripley.com.pe/tv-y-video/audio-portatil/ver-todo-audio-portatil?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018212997412/2018212997412_2.jpg,SONY,SONY REPRODUCTOR DE BLU-RAY UBP - X700,S/ 799,tv-video,video-y-accesorios,https://simple.ripley.com.pe/tv-y-video/video-y-accesorios/ver-todo-video-y-accesorios?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018212916352/2018212916352_2.jpg,PANASONIC,PANASONIC MINICOMPONENTE ONE BOX SC-UA70PUK 1700W,"S/ 1,499",tv-video,equipo-de-sonido,https://simple.ripley.com.pe/tv-y-video/equipo-de-sonido/ver-todo-equipo-de-sonido?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018209223500/2018209223500_2.jpg,LG,"LG SMART TV SUPER UHD 65"" 65SK9500PSA","S/ 9,999",tv-video,tv,https://simple.ripley.com.pe/tv-y-video/televisores/ver-todo-tv?source=menu&page=6
tecnologia,,https://imageshack.com/a/img924/7900/sfh0ky.jpg,ISOUND,ISOUND PARLANTE DURATUNES ISOUND-6706 - ROJO,S/ 149.90,tv-video,audio-portatil,https://simple.ripley.com.pe/tv-y-video/audio-portatil/ver-todo-audio-portatil?source=menu
tecnologia,,https://imageshack.com/a/img921/9929/FbwpjE.jpg,ISOUND,ISOUND AUDIFONOS BT SPORT TONE EARBUDS DGHP-5622 - NEGRO,S/ 129.90,tv-video,audio-portatil,https://simple.ripley.com.pe/tv-y-video/audio-portatil/ver-todo-audio-portatil?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018196668865/2018196668865_2.jpg,HI-TECH,HI-TECH SOUNDBAR + WOOFER 45W,S/ 399,tv-video,audio-para-tv,https://simple.ripley.com.pe/tv-y-video/audio-para-tv/ver-todo-audio-para-tv?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP/2018170227736/2018170227736_2.jpg,,SONY REPRODUCTOR DVD BLU RAY BDP-S1500 - NEGRO,S/ 329,tv-video,video-y-accesorios,https://simple.ripley.com.pe/tv-y-video/video-y-accesorios/ver-todo-video-y-accesorios?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_3/2018185801198/2018185801198_2.jpg,,SONY REPRODUCTOR DE DVD DVP-SR370/BCE32,S/ 149,tv-video,video-y-accesorios,https://simple.ripley.com.pe/tv-y-video/video-y-accesorios/ver-todo-video-y-accesorios?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018209243997/2018209243997_2.jpg,SONY,SONY Equipo de Sonido HDMI/Bluetooth/Karaoke MHC-V71D,"S/ 2,799",tv-video,equipo-de-sonido,https://simple.ripley.com.pe/tv-y-video/equipo-de-sonido/ver-todo-equipo-de-sonido?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018213746408/2018213746408_2.jpg,HAIER,HAIER SMART TV FHD 40'' LE40K6500DA,S/ 999,tv-video,tv,https://simple.ripley.com.pe/tv-y-video/televisores/ver-todo-tv?source=menu&page=6
tecnologia,,//home.ripley.com.pe/Attachment/WOP_3/2018184417963/2018184417963_2.jpg,HAIER,"HAIER SMART TV HD 32"" 32B8500",S/ 999,tv-video,tv,https://simple.ripley.com.pe/tv-y-video/televisores/ver-todo-tv?source=menu&page=6
tecnologia,,//home.ripley.com.pe/Attachment/WOP_2/2065175025416/2065175025416_2.jpg,,SONY PARLANTE MEGA BASS XS-FB1630 - NEGRO,S/ 149,tv-video,car-audio,https://simple.ripley.com.pe/tv-y-video/car-audio/ver-todo-car-audio?source=menu
tecnologia,,https://imageshack.com/a/img922/9378/d9rdP3.jpg,ISOUND,ISOUND PARLANTE HIFI SQUARE ISOUND-6937 - NEGRO,S/ 249.90,tv-video,audio-portatil,https://simple.ripley.com.pe/tv-y-video/audio-portatil/ver-todo-audio-portatil?source=menu
